ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
QUBT,Shkreli's Quantum Shorts Are 'Pretty F***kn Far From Okay' - Rigetti Computing  ( NASDAQ:RGTI ) ,https://www.benzinga.com/trading-ideas/movers/25/10/48212626/quantum-stock-rally-leaves-shkrelis-short-pretty-fn-far-from-okay,20251014T202723,Benzinga,"Martin Shkreli, known for his outspoken views in finance, has been shorting quantum computing stocks IonQ, Inc. ( NYSE:IONQ ) , D-Wave Quantum, Inc. ( NYSE:QBTS ) , Rigetti Computing, Inc. ( NASDAQ:RGTI ) , and Quantum Computing Inc. ( NASDAQ:QUBT ) , regularly mocking what he sees as ...",-0.238869,Somewhat-Bearish,0.1331,Neutral,0,broad,
QUBT,"Could Investing $10,000 in D-Wave Quantum Make You a Millionaire?",https://www.fool.com/investing/2025/10/14/could-investing-10000-in-d-wave-quantum-make-you-a/,20251014T084200,Motley Fool,The path to making a lot of money just might begin with investing in the hottest stock in the hottest tech space.,0.289613,Somewhat-Bullish,0.097259,Neutral,0,focused,AI
QUBT,Why Is Quantum Computing Inc. Stock Jumping Today?,https://www.fool.com/investing/2025/10/13/why-is-quantum-computing-inc-stock-jumping-today/,20251013T185633,Motley Fool,Quantum Computing Inc. stock is moving higher. Here's why.,0.01925,Neutral,0.532043,Somewhat-Bullish,0,broad,
QUBT,"Quantum Computing Stocks IonQ, Rigetti, and D-Wave Have Soared Up to 5,400% Over the Trailing Year -- but History Offers a Dire Warning",https://www.fool.com/investing/2025/10/10/quantum-computing-ionq-rgti-qbts-history-warning/,20251010T070600,Motley Fool,History has a flawless track record of foreshadowing trouble for next-big-thing technologies and innovations -- and quantum computing just made the list.,0.225307,Somewhat-Bullish,0.120632,Neutral,0,focused,AI
QUBT,"The Zacks Analyst Blog Highlights Rigetti Computing, D-Wave Quantum and Quantum Computing",https://www.zacks.com/stock/news/2765518/the-zacks-analyst-blog-highlights-rigetti-computing-d-wave-quantum-and-quantum-computing,20251009T133200,Zacks Commentary,"Rigetti Computing secures $5.7M in orders for its 9-qubit Novera systems, signaling momentum in commercial quantum hardware.",0.276678,Somewhat-Bullish,0.205807,Neutral,0,broad,
QUBT,The Meme ETF is back. Is it late to the party again?,https://www.cnbc.com/2025/10/08/the-meme-etf-is-back-is-it-late-to-the-party-again.html,20251008T190653,CNBC,"In its first go around, the ETF's launch coincided with the Nasdaq Composite's peak.",0.004784,Neutral,0.085629,Neutral,0,focused,AI
QUBT,Can RGTI's $5.7M Novera System Purchase Orders Signal Rising Demand?,https://www.zacks.com/stock/news/2764811/can-rgtis-57m-novera-system-purchase-orders-signal-rising-demand,20251008T165000,Zacks Commentary,"Rigetti secures $5.7M in orders for its 9-qubit Novera systems, signaling growing traction in commercial quantum hardware.",0.271838,Somewhat-Bullish,0.152499,Neutral,0,broad,
QUBT,Revenue Decline and Widening Losses Raise Concerns for QUBT,https://www.zacks.com/stock/news/2763382/revenue-decline-and-widening-losses-raise-concerns-for-qubt,20251007T122300,Zacks Commentary,"Quantum Computing's revenue plunge and widening losses highlight mounting financial strain, even as its photonic chip ambitions remain 12 to 18 months away from payoff.",-0.127201,Neutral,0.356609,Neutral,0,focused,AI
QUBT,Quantum Computing  ( QUBT )  Shares Are Sliding Today: Here's Why - Quantum Computing  ( NASDAQ:QUBT ) ,https://www.benzinga.com/trading-ideas/movers/25/10/48053260/quantum-computing-qubt-shares-are-sliding-today-heres-why,20251006T183838,Benzinga,Quantum Computing Inc ( NASDAQ:QUBT ) shares are trading lower on Monday after the company announced a $750 million oversubscribed private placement.,0.137207,Neutral,0.244109,Somewhat-Bullish,0,broad,
QUBT,"Nasdaq Jumps Over 150 Points; Skye Bioscience Shares Plunge - Critical Metals  ( NASDAQ:CRML ) , Advanced Micro Devices  ( NASDAQ:AMD ) ",https://www.benzinga.com/markets/market-summary/25/10/48050881/nasdaq-jumps-over-150-points-skye-bioscience-shares-plunge,20251006T170901,Benzinga,"U.S. stocks traded mixed midway through trading, with the Nasdaq Composite gaining more than 150 points on Monday. The Dow traded down 0.16% to 46,684.03 while the NASDAQ rose 0.71% to 22,941.69. The S&P 500 also rose, gaining, 0.40% to 6,742.80. Information technology shares jumped by 0.9% on ...",0.128427,Neutral,0.085324,Neutral,0,focused,"AI, ML"
QUBT,Why Quantum Computing Inc. Stock Was Sliding Today,https://www.fool.com/investing/2025/10/06/why-quantum-computing-inc-stock-was-sliding-today/,20251006T161108,Motley Fool,A stock sale turned off investors.,0.112182,Neutral,0.29234,Neutral,0,broad,
QUBT,"Why AMD Shares Are Trading Higher By Over 34%; Here Are 20 Stocks Moving Premarket - Arteris  ( NASDAQ:AIP ) , Advanced Micro Devices  ( NASDAQ:AMD ) ",https://www.benzinga.com/trading-ideas/movers/25/10/48040074/why-amd-shares-are-trading-higher-by-over-34-here-are-20-stocks-moving-premarket,20251006T130108,Benzinga,"Shares of Advanced Micro Devices, Inc. ( NASDAQ:AMD ) rose sharply in pre-market trading following a landmark agreement with OpenAI to deploy up to 6 gigawatts of AMD Instinct GPU power for the tech giant's next-generation AI infrastructure.",0.083151,Neutral,0.084722,Neutral,0,focused,AI
