ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
INFA,STNE vs. INFA: Which Stock Is the Better Value Option?,https://www.zacks.com/stock/news/2767587/stne-vs-infa-which-stock-is-the-better-value-option,20251013T154004,Zacks Commentary,Investors interested in Internet - Software stocks are likely familiar with StoneCo Ltd. ( STNE Quick QuoteSTNE - ) and Informatica Inc. ( INFA Quick QuoteINFA - ) . But which of these two stocks is more attractive to value investors? We'll need to take a closer look to find out.,0.505699,Bullish,0.71174,Bullish,0,broad,
INFA,"Salesforce Stock Trades Near 52-Week Low: Time to Buy, Sell or Hold?",https://www.zacks.com/stock/news/2766164/salesforce-stock-trades-near-52-week-low-time-to-buy-sell-or-hold,20251010T132500,Zacks Commentary,"CRM trades near 52-week low after a 26.6% YTD drop, but its dominance in the customer relationship management software market and AI focus make it worth holding.",0.18874,Somewhat-Bullish,0.053153,Neutral,0,focused,AI
INFA,"Streaming Analytics Market is expected to generate a revenue of USD 252.12 Billion by 2031, Globally, at 33.56% CAGR: Verified Market Research®",https://www.benzinga.com/pressreleases/25/10/g48101823/streaming-analytics-market-is-expected-to-generate-a-revenue-of-usd-252-12-billion-by-2031-globall,20251008T143000,Benzinga,"Lewes, Delaware, Oct. 08, 2025 ( GLOBE NEWSWIRE ) -- The Global Streaming Analytics Market Size is projected to grow at a CAGR of 33.56% from 2024 to 2031, according to a new report published by Verified Market Research®.",0.380536,Bullish,0.018468,Neutral,0,broad,
INFA,"Confluent Surges Pre-Market On Reports It's Considering A Sale - Confluent  ( NASDAQ:CFLT ) , Salesforce  ( NYSE:CRM ) ",https://www.benzinga.com/markets/equities/25/10/48094673/confluent-surges-pre-market-on-reports-its-considering-a-sale,20251008T095933,Benzinga,Confluent Inc. ( NASDAQ:CFLT ) shares surged 19.15% to $24.70 in pre-market trading on Wednesday. Check out the current price of CFLT stock here.,0.121541,Neutral,0.131643,Neutral,0,broad,
INFA,INFA INVESTIGATION NOTICE: Robbins Geller Rudman & Dowd LLP Launches Investigation into Informatica Inc. and Encourages Investors and Potential Witnesses to Contact Law Firm - Informatica  ( NYSE:INFA ) ,https://www.benzinga.com/pressreleases/25/10/g47984680/infa-investigation-notice-robbins-geller-rudman-dowd-llp-launches-investigation-into-informatica-i,20251001T215011,Benzinga,"SAN DIEGO, Oct. 01, 2025 ( GLOBE NEWSWIRE ) -- The law firm of Robbins Geller Rudman & Dowd LLP is investigating potential violations of U.S. federal securities laws involving Informatica Inc. ( NYSE:INFA ) focused on whether Informatica as well as certain of its top executives made false and/or ...",0.09066,Neutral,0.537474,Neutral,0,focused,AI
INFA,Paychex  ( PAYX )  Tops Q1 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2759710/paychex-payx-tops-q1-earnings-and-revenue-estimates,20250930T144502,Zacks Commentary,"Paychex (PAYX) delivered earnings and revenue surprises of +0.83% and +0.22%, respectively, for the quarter ended August 2025. Do the numbers hold clues to what lies ahead for the stock?",0.148554,Neutral,0.211191,Neutral,0,broad,
INFA,STNE vs. INFA: Which Stock Should Value Investors Buy Now?,https://www.zacks.com/stock/news/2757198/stne-vs-infa-which-stock-should-value-investors-buy-now,20250925T154001,Zacks Commentary,STNE vs. INFA: Which Stock Is the Better Value Option?,0.48324,Bullish,0.612521,Bullish,0,broad,
INFA,Genesis Accel Launches Inaugural Innovation Summit in Italy,https://www.benzinga.com/pressreleases/25/09/g47736974/genesis-accel-launches-inaugural-innovation-summit-in-italy,20250918T130300,Benzinga,"MIRAMAR, Fla. and PESCARA, Italy, Sept. 18, 2025 ( GLOBE NEWSWIRE ) -- Venture capital firm, Genesis Accel, today announced the inaugural Genesis Accel Innovation Summit.",0.214423,Somewhat-Bullish,0.083833,Neutral,0,broad,
INFA,STNE or INFA: Which Is the Better Value Stock Right Now?,https://www.zacks.com/stock/news/2748911/stne-or-infa-which-is-the-better-value-stock-right-now,20250909T154001,Zacks Commentary,STNE vs. INFA: Which Stock Is the Better Value Option?,0.491272,Bullish,0.749418,Bullish,0,broad,
INFA,Salesforce Rises 8% in Three Months: Should You Buy CRM Stock Now?,https://www.zacks.com/stock/news/2748594/salesforce-rises-8-in-three-months-should-you-buy-crm-stock-now,20250909T130500,Zacks Commentary,"CRM stock climbs as AI integration, solid earnings and discounted valuation fuel investor confidence.",0.277953,Somewhat-Bullish,0.062271,Neutral,0,focused,AI
